,#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
48,49,claim,6528249616,18,someone shared with me that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,not verified,active,636117.0,311333.875,12659.0,105.0,65.0
49,50,claim,6798355648,36,someone shared with me that the largest living thing on earth is a tree,not verified,active,658349.0,231224.0,45382.5,2880.125,728.5
50,51,claim,9161593537,17,someone shared with me that ketchup leaves the bottle at a measured speed of 25 miles per year,not verified,active,472376.0,210080.0,37155.0,2880.125,728.5
51,52,claim,1291361813,53,someone shared with me that the town of calama in chile has never experienced rain,not verified,active,984793.0,311333.875,15329.0,521.0,30.0
52,53,claim,6346301856,40,a friend shared with a friend that yellowstone national park is home to a supervolcano,not verified,active,301749.0,27047.0,1544.0,230.0,18.0
53,54,claim,8355089614,54,a friend shared with a friend that the largest rock on earth is in australia,not verified,active,971357.0,111164.0,13178.0,2338.0,728.5
54,55,claim,1767010474,29,a friend shared with a friend that the average british driver will spend around 99 days of their life stuck in traffic,not verified,active,302525.0,23738.0,673.0,314.0,118.0
55,56,claim,6315458270,39,a friend shared with a friend that windshield wipers were invented in 1905,not verified,active,578064.0,269616.0,45382.5,2880.125,728.5
56,57,claim,5775227146,25,a friend shared with a friend that the origins of the banjo instrument begin in africa,not verified,active,205584.0,49255.0,5072.0,1186.0,223.0
57,58,claim,7667994370,12,a friend shared with a friend that an average user spends 40% of their day on the internet,not verified,active,422117.0,112780.0,26052.0,1038.0,380.0
58,59,claim,3024206043,49,a friend shared with a friend that half of retail purchases are now made through a mobile device,not verified,active,265598.0,59672.0,4952.0,815.0,400.0
59,60,claim,2931436974,13,a friend shared with a friend that the most watched summer olympics event for the past 20 years has been gymnastics,not verified,active,307222.0,13123.0,4689.0,130.0,63.0
60,61,claim,8774049123,34,a friend shared with a friend that badminton is the fastest ball and net sport in the world,not verified,active,962886.0,174445.0,10848.0,619.0,162.0
61,62,claim,1712882974,32,"a friend shared with a friend that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",not verified,banned,29060.0,1219.0,171.0,3.0,1.0
62,63,claim,8610989068,56,a friend shared with a friend that a dog’s sense of smell is much more powerful than a human's,not verified,active,952372.0,10191.0,114.0,223.0,55.0
63,64,claim,8244180015,37,"a friend shared with a friend that a common garden snail has over 12,000 teeth",not verified,active,986657.0,311333.875,45382.5,2880.125,728.5
64,65,claim,7043718296,44,a friend shared with a friend that koalas sleep up to 22 hours per day,not verified,active,561388.0,152488.0,26474.0,2668.0,291.0
65,66,claim,2833181639,30,a friend shared with a friend that some sharks can glow in the dark,not verified,under review,773587.0,279571.0,16917.0,2880.125,728.5
66,67,claim,8560734678,26,a friend shared with a friend that it would take 258 earth days to drive around one of saturn’s rings at a speed of 75 mph,not verified,under review,71676.0,45324.0,6977.0,503.0,258.0
67,68,claim,6496578100,55,a friend shared with a friend that sputnik was the first artificial satellite in space,not verified,banned,663764.0,113266.0,31512.0,2325.0,564.0
68,69,claim,3916624482,31,a friend shared with a friend that neptune radiates more heat than it gets from the sun,not verified,under review,170467.0,86546.0,19813.0,721.0,447.0
69,70,claim,5342027952,5,a friend shared with a friend that a day on mars is about the same length as on earth,not verified,under review,988418.0,311333.875,45382.5,239.0,22.0
70,71,claim,7417954522,27,a friend shared with a friend that there’s a planet made of diamonds two times the size of earth,not verified,active,345192.0,63925.0,7783.0,99.0,57.0
71,72,claim,9903088754,43,a friend shared with a friend that there is a world championship for throwing mobile phones,not verified,active,755590.0,128952.0,25210.0,1750.0,498.0
72,73,claim,5423860831,48,a friend shared with a friend that avocados never ripen while they are still attached to the tree,not verified,under review,611144.0,46826.0,12186.0,503.0,44.0
73,74,claim,3679640007,34,a friend shared with a friend that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,active,929654.0,311333.875,45382.5,588.0,176.0
74,75,claim,5979401954,7,a friend shared with a friend that humans can’t taste food without saliva,not verified,active,208229.0,115949.0,2253.0,2058.0,149.0
75,76,claim,2473723793,17,a friend shared with a friend that the eiffel tower leans away from the sun,not verified,banned,248398.0,139777.0,17309.0,1639.0,209.0
76,77,claim,2342638585,31,a friend shared with a friend that only one-fourth of the sahara desert is sandy,verified,active,677288.0,214708.0,45382.5,2167.0,728.5
77,78,claim,7486721746,8,a friend shared with a friend that the french scrabble world champion winner doesn’t speak french,not verified,under review,726718.0,241278.0,28762.0,1233.0,87.0
78,79,claim,3780164260,13,a friend shared with a friend that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,under review,857998.0,311333.875,45382.5,2880.125,728.5
79,80,claim,8352128964,48,a friend shared with a friend that it is physically impossible for humans to keep their eyes open while sneezing,not verified,active,589041.0,144226.0,45382.5,2880.125,728.5
80,81,claim,1925338598,31,a friend shared with a friend that pineapples are named after pinecones,not verified,active,604898.0,288298.0,45382.5,2880.125,728.5
81,82,claim,3791068995,20,a friend shared with a friend that losing weight alters brain activity,not verified,under review,737901.0,205717.0,4645.0,666.0,12.0
82,83,claim,6404484639,56,a friend shared with a friend that your fingernails on your dominant hand grow faster,not verified,under review,680252.0,177711.0,1946.0,2880.125,9.0
83,84,claim,1403965706,31,a friend shared with a friend that playing dance music helps ward off mosquitoes,not verified,under review,250243.0,45005.0,9872.0,705.0,240.0
84,85,claim,2675430150,28,a friend shared with a friend that mice typically only live for 6 months in the wild,not verified,active,5279.0,2670.0,16.0,12.0,7.0
85,86,claim,8975962413,37,a friend shared with a friend that the dwarf planet pluto was named by an 11-year-old girl,not verified,active,364943.0,212815.0,6149.0,906.0,4.0
86,87,claim,4966288323,51,a friend shared with a friend that the insect population of the world is 1 billion times more than the world population,not verified,banned,865320.0,139937.0,45382.5,2574.0,728.5
87,88,claim,4219642346,51,a friend shared with a friend that the human brain uses 20% of the body's oxygen,not verified,active,874793.0,306997.0,29763.0,2880.125,728.5
88,89,claim,9716988521,24,a friend shared with a friend that you can fit about 400 grapevines in one acre of land,not verified,active,468077.0,194366.0,37758.0,2880.125,131.0
89,90,claim,5774531836,57,a friend shared with a friend that a pineapple plant can only produce one pineapple a year,not verified,active,539826.0,132637.0,16501.0,444.0,60.0
90,91,claim,6837955665,55,a friend shared with a friend that strawberries are the only known fruit to grow their seeds externally,not verified,active,309589.0,170284.0,45382.5,2735.0,728.5
91,92,claim,5424962156,39,a friend mentioned someone discovered that nucelear fission is now being used to produce electricity,not verified,active,572084.0,93187.0,4911.0,1475.0,9.0
92,93,claim,8176623100,26,"a friend mentioned someone discovered that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,879769.0,107260.0,27447.0,2288.0,728.5
93,94,claim,5559711920,37,a friend mentioned someone discovered that the rubik's cube is the best-selling product of all time,not verified,banned,436875.0,260329.0,41775.0,2880.125,728.5
94,95,claim,7401659041,43,a friend mentioned someone discovered that mobile phone use in india is nearly 100%,not verified,active,501354.0,248235.0,45382.5,2880.125,728.5
95,96,claim,6570169707,50,a friend mentioned someone discovered that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,not verified,banned,168449.0,90690.0,16615.0,1962.0,383.0
96,97,claim,1386456170,32,a friend mentioned someone discovered that the oldest playable musical instruments were found in china,not verified,banned,200060.0,106959.0,32426.0,2564.0,728.5
97,98,claim,4415434682,16,a friend mentioned someone discovered that the japanese word ‘karaoke’ comes from a phrase meaning ’empty orchestra’,not verified,under review,423164.0,186423.0,45382.5,2404.0,728.5
98,99,claim,3490110525,57,a friend mentioned someone discovered that about half of the world's population can access the web via a mobile device,not verified,under review,182650.0,88712.0,28801.0,434.0,95.0
99,100,claim,8089681692,49,a friend mentioned someone discovered that an average user spends 40% of their day on the internet,not verified,active,195432.0,27339.0,3483.0,433.0,200.0
100,101,claim,8266347544,9,a friend mentioned someone discovered that the average user checks their mobile phone around 150 times each day,not verified,active,90931.0,51974.0,3568.0,970.0,156.0
101,102,claim,9794898551,43,a friend mentioned someone discovered that 4 of the top 10 highest paid atheletes in the world are players in the american national basketball assocation (nba),not verified,banned,920337.0,311333.875,45382.5,2880.125,728.5
102,103,claim,6445697344,33,a friend mentioned someone discovered that the first gloves used in american sport baseball were fingerless,not verified,active,995247.0,311333.875,45382.5,2880.125,728.5
103,104,claim,3817438444,23,a friend mentioned someone discovered that the concorde was the fastest passenger jet ever,not verified,banned,956314.0,311333.875,45382.5,2880.125,298.0
104,105,claim,9952827704,53,a friend mentioned someone discovered that the busiest airport in the world is in the united states,not verified,active,328659.0,165642.0,45382.5,337.0,135.0
105,106,claim,7687467484,49,"a friend mentioned someone discovered that london, england has the world's oldest subway system",verified,under review,631075.0,284311.0,45382.5,1163.0,354.0
106,107,claim,7222903379,60,a friend mentioned someone discovered that dragonflies can see in all directions at the same time,not verified,under review,228358.0,19295.0,2332.0,270.0,35.0
107,108,claim,5923572459,51,a friend mentioned someone discovered that koalas sleep up to 22 hours per day,not verified,active,276059.0,97689.0,38967.0,2376.0,507.0
108,109,claim,2944539454,53,a friend mentioned someone discovered that the volcano olympus mons on mars is over 3 times taller than mount everest,not verified,banned,351066.0,58438.0,19119.0,39.0,0.0
109,110,claim,6645515132,41,a friend mentioned someone discovered that saturn is less dense than water,not verified,under review,530697.0,30862.0,8161.0,278.0,166.0
110,111,claim,3984935056,49,a friend mentioned someone discovered that sound actually travels in space,not verified,active,2883.0,1242.0,348.0,11.0,2.0
111,112,claim,3573642153,56,a friend mentioned someone discovered that a single day on venus takes 243 earth days,not verified,active,426268.0,155933.0,45382.5,2880.125,728.5
112,113,claim,2507142098,11,a friend mentioned someone discovered that evidence from seymour island suggest that penguins were once 6 ft tall,not verified,under review,660561.0,311333.875,45382.5,2880.125,728.5
113,114,claim,4025589908,40,a friend mentioned someone discovered that the scottish were the first people to fry chicken,not verified,active,150706.0,72838.0,9413.0,454.0,1.0
114,115,claim,7041087617,47,a friend mentioned someone discovered that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,active,965051.0,311333.875,45382.5,2880.125,728.5
115,116,claim,7373606171,24,a friend mentioned someone discovered that j is the only letter that doesn’t appear on the periodic table of elements,not verified,under review,311719.0,71173.0,6362.0,496.0,163.0
116,117,claim,1256736154,50,a friend mentioned someone discovered that the tallest tower of cupcakes ever made was over 35 feet,not verified,active,56142.0,27239.0,1540.0,390.0,172.0
117,118,claim,2115386652,48,a friend mentioned someone discovered that bees can fly higher than mount everest,verified,active,915553.0,272536.0,45382.5,7.0,3.0
118,119,claim,9082277974,20,a friend mentioned someone discovered that cold water is just as cleansing as hot water,not verified,active,593281.0,311333.875,45382.5,2880.125,728.5
119,120,claim,9850813380,59,a friend mentioned someone discovered that more people speak english as their second language than those who use it as their primary language,not verified,banned,169697.0,12958.0,589.0,314.0,120.0
120,121,claim,6559389686,53,a friend mentioned someone discovered that triskaidekaphobia is the fear of the number 13,not verified,active,812513.0,311333.875,20023.0,2880.125,728.5
121,122,claim,5597300051,34,a friend mentioned someone discovered that your fingernails on your dominant hand grow faster,not verified,active,743385.0,311333.875,45382.5,1427.0,107.0
122,123,claim,5066246380,58,a friend mentioned someone discovered that apple seeds contain cyanide,not verified,active,726835.0,293637.0,31598.0,2880.125,728.5
123,124,claim,9463149535,43,a friend mentioned someone discovered that frigate birds can sleep while flying,not verified,active,950500.0,146636.0,25913.0,1956.0,728.5
124,125,claim,6028042493,38,a friend reported someone discovered that humans will live on mars by 2035,not verified,banned,25771.0,4775.0,1771.0,77.0,26.0
125,126,claim,2102557699,35,a friend reported someone discovered that we will all fly with individual jetpacks by 2032,not verified,banned,660194.0,311333.875,30579.0,2880.125,728.5
126,127,claim,2818218055,50,a friend reported someone discovered that earth days are getting longer over time due to orbital expansion,not verified,active,848448.0,207258.0,45382.5,2880.125,275.0
127,128,claim,9826381124,18,a friend reported someone discovered that seventy percent of small businesses are owned and operated by a single person.,not verified,banned,56312.0,36854.0,6211.0,512.0,254.0
128,129,claim,7164433838,10,a friend reported someone discovered that more businesses will be owned by women than men by 2045,not verified,under review,263806.0,8528.0,2373.0,27.0,10.0
129,130,claim,1474103260,19,a friend reported someone discovered that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,active,951464.0,311333.875,45382.5,752.0,387.0
130,131,claim,3188060641,40,a friend reported someone discovered that 1 billion cars are currently in use around the world,not verified,active,907591.0,291689.0,45382.5,1736.0,728.5
131,132,claim,2312282712,40,a friend reported someone discovered that it would take less than a month to get to the moon by car at 60mph,not verified,active,285004.0,33069.0,11653.0,572.0,71.0
132,133,claim,8045719558,40,a friend reported someone discovered that the car radio was first introduced in 1922,not verified,active,611518.0,43431.0,8890.0,196.0,45.0
133,134,claim,6287699512,18,a friend reported someone discovered that the harmonica is the best selling musical instrument,not verified,banned,227262.0,34194.0,565.0,456.0,74.0
134,135,claim,7194264172,59,a friend reported someone discovered that 90% of the world’s data was generated after 2019,not verified,active,216296.0,92543.0,22041.0,270.0,70.0
135,136,claim,9514639653,34,a friend reported someone discovered that over 60% of the world's population has access to the internet,not verified,active,714428.0,311333.875,45382.5,2880.125,728.5
136,137,claim,2868422477,22,a friend reported someone discovered that singapore has the fastest internet connectivity in the world.,not verified,active,915340.0,311333.875,45382.5,2880.125,728.5
137,138,claim,7413726543,29,a friend reported someone discovered that half of retail purchases are now made through a mobile device,not verified,active,830574.0,311333.875,45382.5,2880.125,728.5
138,139,claim,7852597291,48,a friend reported someone discovered that the world generates 2.5 quintillion bytes of data every day,not verified,active,42647.0,17703.0,5027.0,375.0,155.0
139,140,claim,2516528160,60,a friend reported someone discovered that 1 in 3 people have never used the internet,not verified,active,697308.0,190336.0,45382.5,2880.125,728.5
140,141,claim,6296788623,16,"a friend reported someone discovered that shanghai, china has the world's longest subway system",verified,active,775229.0,42657.0,1636.0,835.0,247.0
141,142,claim,7640548534,26,a friend reported someone discovered that a dog’s sense of smell is much more powerful than a human's,not verified,active,242727.0,4464.0,620.0,62.0,26.0
142,143,claim,5715784279,12,a friend reported someone discovered that dragonflies can see in all directions at the same time,not verified,active,64994.0,37401.0,4768.0,246.0,100.0
143,144,claim,2099433738,15,a friend reported someone discovered that koalas sleep up to 22 hours per day,not verified,active,338032.0,174028.0,45382.5,2880.125,728.5
144,145,claim,5893807380,26,a friend reported someone discovered that it snows metal and rains acid on venus,not verified,active,405315.0,241311.0,12754.0,2880.125,728.5
145,146,claim,6710546869,28,a friend reported someone discovered that the sun takes over one earth month to make a full rotation,not verified,active,443793.0,62808.0,18380.0,671.0,251.0
146,147,claim,7688135507,23,a friend reported someone discovered that it takes an average of 364 licks to get to the center of a lollipop,not verified,active,754822.0,311333.875,28597.0,2880.125,728.5
147,148,claim,4617688188,20,a friend reported someone discovered that there is a world championship for throwing mobile phones,not verified,active,612397.0,69987.0,27953.0,910.0,606.0
148,149,claim,2934930612,50,a friend reported someone discovered that take out restaurants have been found in the remains of pompeii,not verified,active,998792.0,151348.0,45382.5,2843.0,728.5
149,150,claim,7850604311,51,a friend reported someone discovered that captive ravens can speak better than parrots,not verified,banned,765069.0,301210.0,45382.5,278.0,156.0
150,151,claim,8919589653,54,a friend reported someone discovered that the scottish were the first people to fry chicken,not verified,active,112830.0,38543.0,526.0,107.0,3.0
151,152,claim,9072252537,23,a friend reported someone discovered that elephants will console each other during stressful situations,not verified,active,762699.0,311333.875,26264.0,2880.125,458.0
152,153,claim,2073671797,24,a friend reported someone discovered that avocados never ripen while they are still attached to the tree,not verified,active,645348.0,25962.0,6713.0,211.0,44.0
153,154,claim,8269228783,16,a friend reported someone discovered that the brain is the fattiest organ in the body,not verified,active,379005.0,204577.0,45382.5,2862.0,728.5
154,155,claim,3576462449,15,a friend reported someone discovered that humans can’t taste food without saliva,not verified,active,894337.0,129925.0,3678.0,1010.0,304.0
155,156,claim,5054812105,58,a friend reported someone discovered that the netherlands is home to the population of tallest humans on earth,not verified,active,712536.0,216805.0,45382.5,2880.125,728.5
156,157,claim,2731216926,9,a friend reported someone discovered that new zealanders have more pets per household than any other country,not verified,under review,148492.0,70227.0,14962.0,1264.0,728.5
157,158,claim,8587085648,33,a friend reported someone discovered that q' is the only letter that doesn’t appear in any u.s. state name,not verified,active,433310.0,102440.0,34276.0,1753.0,728.5
158,159,claim,8080736770,50,"a friend reported someone discovered that blue whales eat 500,000 calories in 1 mouthful on average",not verified,active,649471.0,311333.875,42349.0,1072.0,46.0
159,160,claim,3424864755,5,a friend reported someone discovered that humans have jumped further than horses in the olympics,not verified,under review,40208.0,8018.0,1029.0,16.0,0.0
160,161,claim,2188053512,38,a friend reported someone discovered that the first commercial airplane flight lasted 23 minutes,not verified,active,346555.0,70156.0,12343.0,605.0,94.0
161,162,claim,3210888500,20,a friend reported someone discovered that 170-year-old champagne was found under the baltic sea,not verified,active,812447.0,311333.875,45382.5,2880.125,528.0
162,163,claim,6425710834,6,a friend reported someone discovered that x-rays can’t distinguish real diamonds from fake ones,not verified,under review,391812.0,30875.0,1706.0,165.0,76.0
163,164,claim,9742572710,28,a friend reported someone discovered that the continental tectonic plates move at the same rate that fingernails grow,not verified,banned,468758.0,78841.0,12464.0,1271.0,681.0
164,165,claim,5127402473,35,a friend reported someone discovered that driving south from detroit will lead to canada,not verified,active,642888.0,21908.0,7009.0,412.0,122.0
165,166,claim,2042520713,35,a friend reported someone discovered that more people speak english as their second language than those who use it as their primary language,not verified,banned,633270.0,6077.0,1018.0,101.0,60.0
166,167,claim,9561409967,17,a friend reported someone discovered that triskaidekaphobia is the fear of the number 13,not verified,banned,734203.0,296340.0,45382.5,2880.125,728.5
167,168,claim,8435751140,44,a friend reported someone discovered that the opposite sides of dice will always equal 7,not verified,active,939399.0,144236.0,31119.0,906.0,104.0
168,169,claim,2990741745,8,a friend reported someone discovered that bananas get their curved shape by growing towards the sun,not verified,active,494881.0,32805.0,8934.0,534.0,198.0
169,170,claim,6722335625,27,a friend reported someone discovered that frigate birds can sleep while flying,verified,active,886215.0,311333.875,45382.5,2880.125,728.5
170,171,claim,7746498271,47,a friend reported someone discovered that the chicken is the closest relative to the t-rex,verified,banned,648343.0,233325.0,45382.5,2880.125,728.5
171,172,claim,8739148209,12,a friend reported someone discovered that violin bows are made from horsehair,not verified,banned,56430.0,34026.0,4691.0,0.0,0.0
172,173,claim,5498164986,42,a friend reported someone discovered that the largest living thing on earth is a tree,not verified,active,558866.0,187629.0,15527.0,2880.125,728.5
173,174,claim,3936574703,36,a friend reported someone discovered that the moon is moving away from the earth,not verified,active,91199.0,28946.0,3171.0,115.0,59.0
174,175,claim,2604259933,25,a friend reported someone discovered that a pineapple plant can only produce one pineapple a year,not verified,active,788517.0,307605.0,9543.0,2880.125,728.5
175,176,claim,1608107038,45,a friend reported someone discovered that china is the world’s largest silk producer,not verified,active,115622.0,56824.0,13342.0,817.0,373.0
176,177,claim,2727382715,36,a friend reported someone discovered that redwoods are the tallest trees,not verified,active,36741.0,4541.0,49.0,38.0,23.0
177,178,claim,5902155661,23,a friend told me someone discovered that humans will live on mars by 2035,not verified,active,417233.0,217824.0,34725.0,357.0,66.0
178,179,claim,9213366701,16,a friend told me someone discovered that drone deliveries are already happening and will become common by 2025,not verified,active,509376.0,153342.0,34764.0,2281.0,728.5
179,180,claim,8842246310,52,a friend told me someone discovered that earth days are getting longer over time due to orbital expansion,verified,active,993601.0,311333.875,45382.5,2648.0,728.5
180,181,claim,6889169972,29,a friend told me someone discovered that 20% of the world's oxygen is produced in the amazon jungles,not verified,active,511307.0,271981.0,20832.0,2880.125,728.5
181,182,claim,7804864557,32,a friend told me someone discovered that there are about 582 million entrepreneurs in the world,not verified,under review,518655.0,105148.0,40590.0,1367.0,502.0
182,183,claim,4823187644,59,a friend told me someone discovered that the highest total mileage clocked by a single car is 2850000 million miles,not verified,banned,268145.0,112600.0,14468.0,2719.0,106.0
183,184,claim,9335708424,45,a friend told me someone discovered that violins are constructed from 70 individual wooden pieces,not verified,under review,862840.0,311333.875,45382.5,1459.0,728.5
184,185,claim,7766705565,24,a friend told me someone discovered that the musical artist prince played 27 different instruments on his debut album,not verified,active,244746.0,15130.0,2944.0,180.0,62.0
185,186,claim,4696899899,37,a friend told me someone discovered that it would take a 50 petabyte drive to store every written work ever created,not verified,active,210960.0,115814.0,36974.0,1855.0,467.0
186,187,claim,6745378976,12,a friend told me someone discovered that kite flying is a professional sport in thailand.,not verified,under review,111863.0,516.0,33.0,11.0,4.0
187,188,claim,6772896896,11,"a friend told me someone discovered that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",not verified,active,89566.0,45283.0,5417.0,137.0,21.0
188,189,claim,1862037900,42,a friend told me someone discovered that the busiest airport in the world is in the united states,not verified,under review,444516.0,215982.0,12545.0,2880.125,728.5
